1	Iormetti Concepts · One-to-one fitness coaching · €100 / hour	Iormetti Concepts · Coaching fitness individuale · 100 € / ora
2	Skip to content	Vai al contenuto
5	The concept	Il metodo
7	Nutrition	Alimentazione
9	€100 / hour	100 € / ora
10	1:1 Coaching	Coaching 1:1
14	Menu	Menù
15	Your journey	Il tuo percorso
16	Your first step	Il primo passo
17	ONE-TO-ONE FITNESS COACHING	COACHING FITNESS INDIVIDUALE
18	WITH GIACOMO IORMETTI	CON GIACOMO IORMETTI
19	YOUR GOAL.	IL TUO OBIETTIVO.
20	YOUR TRAINING.	IL TUO TRAINING.
21	One-to-one fitness coaching · €100 / hour	Coaching fitness individuale · 100 € / ora
22	Personal guidance. Clear steps. Training that fits you and your everyday life.	Supporto personale. Passi chiari. Un allenamento adatto a te e alla tua quotidianità.
23	Discover your 1:1 coaching	Scopri il coaching 1:1
24	YOUR FOCUS. MY ATTENTION.	IL TUO OBIETTIVO. LA MIA ATTENZIONE.
25	1:1 COACHING · €100 / HOUR	COACHING 1:1 · 100 € / ORA
27	TRAINING WITH DIRECTION.	ALLENATI CON UNA DIREZIONE.
28	Explore more	Scopri di più
30	PERSONAL. CONSIDERED. YOURS.	PERSONALE. RAGIONATO. TUO.
31	YOUR STARTING POINT	IL TUO PUNTO DI PARTENZA
32	YOU DON’T HAVE TO BE THERE YET.	NON DEVI ESSERE GIÀ AL TRAGUARDO.
33	YOU WANT MORE.	VUOI DI PIÙ.
34	WITH A PLAN.	CON UN PIANO.
35	Perhaps motivation isn’t what’s missing.	Forse non ti manca la motivazione.
36	Perhaps it’s a clear direction.	Ma una direzione chiara.
37	01 / GET STARTED	01 / INIZIARE
38	WHERE DO I START?	DA DOVE INIZIO?
39	You want to train, but exercises, equipment and advice make it hard to know where to begin. In one-to-one coaching, we work out what makes sense for your first steps.	Vuoi allenarti, ma tra esercizi, attrezzi e consigli non sai da dove cominciare. Nel coaching individuale individuiamo insieme i primi passi più adatti a te.
40	02 / MOVE FORWARD	02 / PROGREDIRE
41	WHAT HELPS ME PROGRESS?	COME POSSO PROGREDIRE?
42	You already train and want a more considered approach. We look at your goal, your technique and the details that deserve attention in your next session.	Ti alleni già e vuoi farlo con più consapevolezza. Guardiamo al tuo obiettivo, alla tecnica e agli aspetti su cui concentrarti nella prossima sessione.
43	03 / STAY CONSISTENT	03 / ESSERE COSTANTI
44	HOW DOES IT FIT MY LIFE?	COME SI INSERISCE NELLA MIA VITA?
45	Work and everyday life keep pushing training aside. We work on a realistic schedule and next steps that fit the time you have.	Tra lavoro e impegni, l’allenamento passa in secondo piano. Cerchiamo un ritmo realistico e passi concreti compatibili con il tempo che hai.
46	How one-to-one coaching supports you	Come ti aiuta il coaching individuale
47	01 / THE CONCEPT	01 / IL METODO
48	STRENGTH IS	LA FORZA È
49	MORE THAN	PIÙ DEI
50	MUSCLE.	MUSCOLI.
51	A good plan starts with you.	Un buon piano parte da te.
52	And works in your everyday life.	E funziona nella tua vita quotidiana.
53	What do you want to achieve? What fits your life? Together, these answers shape a concept that brings training, habits and personal guidance together.	Cosa vuoi raggiungere? Cosa si concilia con la tua vita? Da queste risposte nasce un metodo che unisce allenamento, abitudini e supporto personale.
54	It’s about steps you understand. Training you believe in. And finding a rhythm of your own.	Passi che comprendi. Un allenamento in cui credi. E un ritmo che senti tuo.
55	How we shape your plan	Come nasce il tuo percorso
57	CLEAR DIRECTION.	UNA DIREZIONE CHIARA.
58	Your goal sets the framework. Your everyday life shapes how we make it work.	Il tuo obiettivo definisce la direzione. La tua quotidianità ci aiuta a renderla concreta.
60	MINDFUL TRAINING.	ALLENAMENTO CONSAPEVOLE.
61	Exercises and effort have a purpose, matched to your starting point.	Esercizi e carichi hanno uno scopo, adatto al tuo punto di partenza.
63	LASTING ROUTINES.	ABITUDINI CONCRETE.
